code,name
203042,0512R091
203040,0512R007
203041,0512R028
203018,0504R091
203017,0504R028
300059,东方财富
203016,0504R007
600521,华海药业
600345,长江通信
600582,天地科技
600765,中航重机
600789,鲁抗医药
600790,轻纺城
600817,*ST宏盛
601238,广汽集团
600346,恒力股份
600993,马应龙
002330,得利斯
600606,绿地控股
300741,华宝股份
300740,御家汇
600552,凯盛科技
300739,明阳电路
300736,百华悦邦
300735,光弘科技
300732,设研院
600607,上实医药
300733,西菱动力
300729,乐歌股份
300731,科创新源
300727,润禾材料
603969,银龙股份
300725,药石科技
300722,新余国科
000669,金鸿控股
160421,华安智增
300730,科创信息
300720,海川智能
300719,安达维尔
300728,天常股份
300716,国立科技
300715,凯伦股份
300726,宏达电子
300713,英可瑞
300711,广哈通信
300737,科顺股份
300723,一品红
300709,精研科技
300708,聚灿光电
300706,阿石创
300705,九典制药
300702,天宇股份
300701,森霸股份
300721,怡达股份
300700,岱勒新材
300699,光威复材
300698,万马科技
300697,电工合金
300696,爱乐达
300718,长盛轴承
300693,盛弘股份
300695,兆丰股份
300692,中环环保
300690,双一科技
300689,澄天伟业
300712,永福股份
300710,万隆光电
300688,创业黑马
300687,赛意信息
300686,智动力
300683,海特生物
300685,艾德生物
300707,威唐工业
300680,隆盛科技
300681,英搏尔
300703,创源文化
300677,英科医疗
300717,华信新材
300682,朗新科技
300672,国科微
300679,电连技术
300670,大烨智能
300671,富满电子
300669,沪宁股份
300678,中科信息
300667,必创科技
300675,建科院
300665,飞鹿股份
300664,鹏鹞环保
300663,科蓝软件
300660,江苏雷利
300662,科锐国际
300691,联合光电
300659,中孚信息
300658,延江股份
300657,弘信电子
300656,民德电子
300655,晶瑞股份
300654,世纪天鸿
300651,金陵体育
300650,太龙照明
300649,杭州园林
300647,超频三
300648,星云股份
300646,侨源气体
300644,南京聚隆
300643,万通智控
300676,华大基因
300668,杰恩设计
300666,江丰电子
300641,正丹股份
300638,广和通
300661,圣邦股份
300637,扬帆新材
300636,同和药业
300635,达安股份
300634,彩讯股份
300653,正海生物
300633,开立医疗
300632,光莆股份
300631,久吾高科
300630,普利制药
300628,亿联网络
300627,华测导航
300624,万兴科技
300625,三雄极光
300622,博士眼镜
300621,维业股份
300642,透景生命
300640,德艺文创
300619,金银河
300639,凯普生物
300617,安靠智电
300615,欣天科技
300616,尚品宅配
300612,宣亚国际
300611,美力科技
300610,晨化股份
300609,汇纳科技
300608,思特奇
300606,金太阳
300645,正元智慧
300605,恒锋信息
300603,立昂技术
300604,长川科技
300602,飞荣达
300599,雄塑科技
300598,诚迈科技
300620,光库科技
300597,吉大通信
300595,欧普康视
300592,华凯创意
300591,万里马
300590,移为通信
300589,江龙船艇
300588,熙菱信息
300587,天铁股份
300586,美联新材
300585,奥联电子
300583,赛托生物
300584,海辰药业
300582,英飞特
300581,晨曦航空
300580,贝斯特
300607,拓斯达
300579,数字认证
300578,会畅通讯
300576,容大感光
300601,康泰生物
300573,兴齐眼药
300600,瑞特股份
300571,平治信息
300570,太辰光
300568,星源材质
300567,精测电子
300593,新雷能
300566,激智科技
300563,神宇股份
300561,汇金科技
300559,佳发安泰
300558,贝达药业
300557,理工光科
300556,丝路视觉
300555,路通视信
300577,开润股份
300575,中旗股份
300551,古鳌科技
300565,科信技术
300562,乐心医疗
300572,安车检测
300547,川环科技
300560,中富通
300543,朗科智能
300549,优德精密
300542,新晨科技
300553,集智股份
300552,万集科技
300539,横河模具
300545,联得装备
300550,和仁科技
300536,农尚环境
300534,陇神戎发
300548,博创科技
300535,达威股份
300533,冰川网络
300532,今天国际
300530,达志科技
300527,华舟应急
300528,幸福蓝海
300525,博思软件
300523,辰安科技
300521,爱司凯
300519,新光药业
300540,深冷股份
300537,广信材料
300517,海波重科
300518,盛讯达
300515,三德科技
300514,友讯达
300531,优博讯
300512,中亚股份
300529,健帆生物
300509,新美星
300510,金冠电气
